starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 29 09:48:22 2015	1448786902	58	74	132	74
Sun Nov 29 09:48:22 2015	1448786902	57	75	132	75
Sun Nov 29 09:48:26 2015	1448786906	58	75	133	75
Sun Nov 29 09:48:24 2015	1448786904	59	74	133	73
Sun Nov 29 09:48:20 2015	1448786900	59	77	136	77
Sun Nov 29 09:48:24 2015	1448786904	58	78	137	78
Sun Nov 29 09:48:24 2015	1448786904	58	79	137	79
Sun Nov 29 09:48:21 2015	1448786901	59	79	137	78
Sun Nov 29 09:48:19 2015	1448786899	63	76	139	76
Sun Nov 29 09:48:25 2015	1448786905	60	79	140	79
Sun Nov 29 09:48:20 2015	1448786900	60	80	140	80
Sun Nov 29 09:48:19 2015	1448786899	62	79	141	79
Sun Nov 29 09:48:24 2015	1448786904	59	82	141	82
Sun Nov 29 09:48:20 2015	1448786900	63	79	141	79
Sun Nov 29 09:48:25 2015	1448786905	61	80	142	80
Sun Nov 29 09:48:21 2015	1448786901	61	81	142	81
Sun Nov 29 09:48:23 2015	1448786903	62	81	142	80
Sun Nov 29 09:48:21 2015	1448786901	62	81	143	81
Sun Nov 29 09:48:20 2015	1448786900	64	79	143	79
Sun Nov 29 09:48:21 2015	1448786901	61	82	143	82
Sun Nov 29 09:48:21 2015	1448786901	63	80	143	80
Sun Nov 29 09:48:20 2015	1448786900	62	81	143	81
Sun Nov 29 09:48:20 2015	1448786900	61	82	144	82
Sun Nov 29 09:48:20 2015	1448786900	61	82	144	82
Sun Nov 29 09:48:21 2015	1448786901	62	82	144	82
Sun Nov 29 09:48:20 2015	1448786900	62	82	144	82
Sun Nov 29 09:48:25 2015	1448786905	62	82	144	82
Sun Nov 29 09:48:21 2015	1448786901	63	81	144	81
Sun Nov 29 09:48:20 2015	1448786900	59	85	145	85
Sun Nov 29 09:48:24 2015	1448786904	60	85	145	85
Sun Nov 29 09:48:21 2015	1448786901	61	84	145	83
Sun Nov 29 09:48:20 2015	1448786900	66	79	145	79
Sun Nov 29 09:48:21 2015	1448786901	59	86	145	86
Sun Nov 29 09:48:24 2015	1448786904	61	84	145	83
Sun Nov 29 09:48:21 2015	1448786901	62	84	146	84
Sun Nov 29 09:48:21 2015	1448786901	64	82	146	82
Sun Nov 29 09:48:21 2015	1448786901	64	82	146	81
Sun Nov 29 09:48:22 2015	1448786902	66	80	146	78
Sun Nov 29 09:48:20 2015	1448786900	60	87	146	86
Sun Nov 29 09:48:22 2015	1448786902	64	83	147	79
Sun Nov 29 09:48:19 2015	1448786899	62	85	147	84
Sun Nov 29 09:48:21 2015	1448786901	60	88	147	80
Sun Nov 29 09:48:21 2015	1448786901	64	83	147	83
Sun Nov 29 09:48:23 2015	1448786903	62	85	147	85
Sun Nov 29 09:48:21 2015	1448786901	63	84	147	82
Sun Nov 29 09:48:20 2015	1448786900	59	89	148	88
Sun Nov 29 09:48:25 2015	1448786905	64	84	148	80
Sun Nov 29 09:48:25 2015	1448786905	62	86	149	86
Sun Nov 29 09:48:25 2015	1448786905	65	84	149	84
Sun Nov 29 09:48:19 2015	1448786899	66	83	149	83
Sun Nov 29 09:48:21 2015	1448786901	61	89	151	89
Sun Nov 29 09:48:23 2015	1448786903	67	85	151	84
Sun Nov 29 09:48:19 2015	1448786899	62	89	151	89
Sun Nov 29 09:48:20 2015	1448786900	66	86	152	86
