starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 29 09:41:45 2015	1448786505	54	60	114	60
Sun Nov 29 09:41:49 2015	1448786509	55	60	115	60
Sun Nov 29 09:41:45 2015	1448786505	57	58	115	58
Sun Nov 29 09:41:48 2015	1448786508	56	60	116	60
Sun Nov 29 09:41:48 2015	1448786508	58	58	116	58
Sun Nov 29 09:41:45 2015	1448786505	58	59	117	59
Sun Nov 29 09:41:49 2015	1448786509	60	57	117	56
Sun Nov 29 09:41:49 2015	1448786509	62	56	117	55
Sun Nov 29 09:41:49 2015	1448786509	58	59	117	59
Sun Nov 29 09:41:44 2015	1448786504	58	60	117	60
Sun Nov 29 09:41:45 2015	1448786505	59	59	118	58
Sun Nov 29 09:41:49 2015	1448786509	58	59	118	59
Sun Nov 29 09:41:49 2015	1448786509	59	59	118	58
Sun Nov 29 09:41:47 2015	1448786507	60	58	118	58
Sun Nov 29 09:41:48 2015	1448786508	58	60	118	60
Sun Nov 29 09:41:48 2015	1448786508	58	60	118	60
Sun Nov 29 09:41:44 2015	1448786504	59	60	119	58
Sun Nov 29 09:41:48 2015	1448786508	61	58	119	58
Sun Nov 29 09:41:44 2015	1448786504	58	61	119	61
Sun Nov 29 09:41:49 2015	1448786509	59	60	119	59
Sun Nov 29 09:41:48 2015	1448786508	56	63	119	62
Sun Nov 29 09:41:48 2015	1448786508	57	62	119	60
Sun Nov 29 09:41:49 2015	1448786509	60	59	119	58
Sun Nov 29 09:41:49 2015	1448786509	61	59	119	59
Sun Nov 29 09:41:48 2015	1448786508	58	62	119	62
Sun Nov 29 09:41:47 2015	1448786507	60	59	119	58
Sun Nov 29 09:41:45 2015	1448786505	60	59	119	59
Sun Nov 29 09:41:49 2015	1448786509	62	58	120	58
Sun Nov 29 09:41:47 2015	1448786507	58	62	120	61
Sun Nov 29 09:41:47 2015	1448786507	62	58	120	58
Sun Nov 29 09:41:48 2015	1448786508	59	60	120	59
Sun Nov 29 09:41:48 2015	1448786508	57	63	120	63
Sun Nov 29 09:41:45 2015	1448786505	61	59	120	59
Sun Nov 29 09:41:48 2015	1448786508	59	61	120	60
Sun Nov 29 09:41:49 2015	1448786509	60	60	120	60
Sun Nov 29 09:41:48 2015	1448786508	58	63	120	63
Sun Nov 29 09:41:45 2015	1448786505	58	62	120	62
Sun Nov 29 09:41:48 2015	1448786508	61	59	120	59
Sun Nov 29 09:41:48 2015	1448786508	59	61	120	60
Sun Nov 29 09:41:49 2015	1448786509	59	62	120	61
Sun Nov 29 09:41:45 2015	1448786505	61	60	120	60
Sun Nov 29 09:41:45 2015	1448786505	61	59	120	58
Sun Nov 29 09:41:49 2015	1448786509	58	63	121	62
Sun Nov 29 09:41:49 2015	1448786509	60	60	121	60
Sun Nov 29 09:41:45 2015	1448786505	61	59	121	59
Sun Nov 29 09:41:43 2015	1448786503	61	60	121	59
Sun Nov 29 09:41:47 2015	1448786507	59	62	121	62
Sun Nov 29 09:41:43 2015	1448786503	61	59	121	59
Sun Nov 29 09:41:47 2015	1448786507	59	62	121	62
Sun Nov 29 09:41:48 2015	1448786508	62	59	121	58
Sun Nov 29 09:41:48 2015	1448786508	62	59	121	59
Sun Nov 29 09:41:47 2015	1448786507	58	63	121	63
Sun Nov 29 09:41:49 2015	1448786509	58	63	121	62
Sun Nov 29 09:41:48 2015	1448786508	61	60	121	60
Sun Nov 29 09:41:48 2015	1448786508	60	61	121	59
Sun Nov 29 09:41:47 2015	1448786507	61	60	121	60
Sun Nov 29 09:41:46 2015	1448786506	54	67	121	66
Sun Nov 29 09:41:50 2015	1448786510	61	60	121	60
Sun Nov 29 09:41:48 2015	1448786508	61	61	121	61
Sun Nov 29 09:41:46 2015	1448786506	62	60	121	59
Sun Nov 29 09:41:48 2015	1448786508	59	62	121	62
Sun Nov 29 09:41:49 2015	1448786509	62	59	121	59
Sun Nov 29 09:41:44 2015	1448786504	60	61	121	59
Sun Nov 29 09:41:49 2015	1448786509	61	60	121	60
Sun Nov 29 09:41:49 2015	1448786509	60	61	121	61
Sun Nov 29 09:41:43 2015	1448786503	58	63	121	63
Sun Nov 29 09:41:49 2015	1448786509	62	60	121	60
Sun Nov 29 09:41:49 2015	1448786509	58	63	121	61
Sun Nov 29 09:41:46 2015	1448786506	61	60	122	60
Sun Nov 29 09:41:46 2015	1448786506	62	60	122	60
Sun Nov 29 09:41:48 2015	1448786508	63	58	122	57
Sun Nov 29 09:41:48 2015	1448786508	61	61	122	61
Sun Nov 29 09:41:44 2015	1448786504	60	62	122	61
Sun Nov 29 09:41:48 2015	1448786508	60	61	122	61
Sun Nov 29 09:41:46 2015	1448786506	59	63	122	62
Sun Nov 29 09:41:47 2015	1448786507	60	62	122	60
Sun Nov 29 09:41:45 2015	1448786505	61	61	122	60
Sun Nov 29 09:41:45 2015	1448786505	62	60	122	60
Sun Nov 29 09:41:45 2015	1448786505	62	60	122	59
Sun Nov 29 09:41:48 2015	1448786508	59	63	122	63
Sun Nov 29 09:41:49 2015	1448786509	63	58	122	58
Sun Nov 29 09:41:45 2015	1448786505	58	64	122	63
Sun Nov 29 09:41:45 2015	1448786505	63	59	122	58
Sun Nov 29 09:41:44 2015	1448786504	62	60	122	60
Sun Nov 29 09:41:50 2015	1448786510	64	58	122	57
Sun Nov 29 09:41:49 2015	1448786509	63	59	122	59
Sun Nov 29 09:41:49 2015	1448786509	58	64	122	63
Sun Nov 29 09:41:45 2015	1448786505	62	60	122	59
Sun Nov 29 09:41:47 2015	1448786507	58	64	122	63
Sun Nov 29 09:41:45 2015	1448786505	59	63	122	63
Sun Nov 29 09:41:47 2015	1448786507	64	58	122	58
Sun Nov 29 09:41:49 2015	1448786509	63	59	122	58
Sun Nov 29 09:41:46 2015	1448786506	61	61	122	61
Sun Nov 29 09:41:49 2015	1448786509	62	60	122	60
Sun Nov 29 09:41:45 2015	1448786505	62	60	122	60
Sun Nov 29 09:41:44 2015	1448786504	59	63	122	63
Sun Nov 29 09:41:48 2015	1448786508	60	62	122	61
Sun Nov 29 09:41:44 2015	1448786504	59	63	122	62
Sun Nov 29 09:41:48 2015	1448786508	61	62	122	61
Sun Nov 29 09:41:44 2015	1448786504	59	63	122	63
Sun Nov 29 09:41:46 2015	1448786506	61	61	122	61
Sun Nov 29 09:41:46 2015	1448786506	61	61	123	61
Sun Nov 29 09:41:49 2015	1448786509	62	61	123	61
Sun Nov 29 09:41:49 2015	1448786509	59	63	123	63
Sun Nov 29 09:41:46 2015	1448786506	59	63	123	62
Sun Nov 29 09:41:45 2015	1448786505	58	65	123	63
Sun Nov 29 09:41:50 2015	1448786510	61	62	123	62
Sun Nov 29 09:41:44 2015	1448786504	57	66	123	64
Sun Nov 29 09:41:44 2015	1448786504	61	62	123	62
Sun Nov 29 09:41:48 2015	1448786508	59	64	123	64
Sun Nov 29 09:41:48 2015	1448786508	57	66	123	64
Sun Nov 29 09:41:49 2015	1448786509	62	61	123	61
Sun Nov 29 09:41:47 2015	1448786507	63	60	123	60
Sun Nov 29 09:41:45 2015	1448786505	61	62	123	61
Sun Nov 29 09:41:46 2015	1448786506	61	62	123	62
Sun Nov 29 09:41:45 2015	1448786505	62	62	123	61
Sun Nov 29 09:41:44 2015	1448786504	59	64	123	64
Sun Nov 29 09:41:48 2015	1448786508	63	60	123	60
Sun Nov 29 09:41:48 2015	1448786508	63	60	123	60
Sun Nov 29 09:41:45 2015	1448786505	64	60	123	60
Sun Nov 29 09:41:50 2015	1448786510	61	63	123	63
Sun Nov 29 09:41:44 2015	1448786504	57	66	123	64
Sun Nov 29 09:41:48 2015	1448786508	62	61	123	61
Sun Nov 29 09:41:47 2015	1448786507	58	65	124	65
Sun Nov 29 09:41:44 2015	1448786504	61	62	124	61
Sun Nov 29 09:41:49 2015	1448786509	60	64	124	64
Sun Nov 29 09:41:49 2015	1448786509	62	62	124	61
Sun Nov 29 09:41:45 2015	1448786505	59	65	124	63
Sun Nov 29 09:41:46 2015	1448786506	62	62	124	62
Sun Nov 29 09:41:46 2015	1448786506	64	59	124	59
Sun Nov 29 09:41:48 2015	1448786508	62	62	124	62
Sun Nov 29 09:41:48 2015	1448786508	58	66	124	65
Sun Nov 29 09:41:46 2015	1448786506	61	63	124	63
Sun Nov 29 09:41:44 2015	1448786504	62	62	124	62
Sun Nov 29 09:41:47 2015	1448786507	61	63	124	62
Sun Nov 29 09:41:48 2015	1448786508	59	65	124	64
Sun Nov 29 09:41:49 2015	1448786509	61	63	124	63
Sun Nov 29 09:41:49 2015	1448786509	59	65	124	65
Sun Nov 29 09:41:50 2015	1448786510	62	62	124	60
Sun Nov 29 09:41:48 2015	1448786508	61	63	124	63
Sun Nov 29 09:41:49 2015	1448786509	63	61	124	61
Sun Nov 29 09:41:44 2015	1448786504	61	63	124	62
Sun Nov 29 09:41:44 2015	1448786504	61	63	124	63
Sun Nov 29 09:41:49 2015	1448786509	65	59	124	58
Sun Nov 29 09:41:45 2015	1448786505	59	65	124	65
Sun Nov 29 09:41:48 2015	1448786508	60	64	124	64
Sun Nov 29 09:41:44 2015	1448786504	63	62	124	61
Sun Nov 29 09:41:47 2015	1448786507	60	64	124	64
Sun Nov 29 09:41:46 2015	1448786506	62	63	124	63
Sun Nov 29 09:41:46 2015	1448786506	61	63	124	63
Sun Nov 29 09:41:49 2015	1448786509	59	66	124	66
Sun Nov 29 09:41:47 2015	1448786507	59	66	124	65
Sun Nov 29 09:41:48 2015	1448786508	63	61	124	61
Sun Nov 29 09:41:43 2015	1448786503	58	67	124	66
Sun Nov 29 09:41:49 2015	1448786509	60	64	124	63
Sun Nov 29 09:41:47 2015	1448786507	64	61	125	60
Sun Nov 29 09:41:44 2015	1448786504	61	64	125	64
Sun Nov 29 09:41:45 2015	1448786505	61	63	125	61
Sun Nov 29 09:41:45 2015	1448786505	59	66	125	66
Sun Nov 29 09:41:49 2015	1448786509	65	60	125	60
Sun Nov 29 09:41:46 2015	1448786506	62	62	125	62
Sun Nov 29 09:41:49 2015	1448786509	61	64	125	63
Sun Nov 29 09:41:47 2015	1448786507	61	63	125	63
Sun Nov 29 09:41:46 2015	1448786506	58	67	125	66
Sun Nov 29 09:41:49 2015	1448786509	60	65	125	65
Sun Nov 29 09:41:49 2015	1448786509	64	61	125	61
Sun Nov 29 09:41:46 2015	1448786506	62	62	125	60
Sun Nov 29 09:41:46 2015	1448786506	61	64	125	63
Sun Nov 29 09:41:45 2015	1448786505	60	65	125	65
Sun Nov 29 09:41:49 2015	1448786509	61	64	125	64
Sun Nov 29 09:41:45 2015	1448786505	61	64	125	64
Sun Nov 29 09:41:47 2015	1448786507	59	66	125	65
Sun Nov 29 09:41:47 2015	1448786507	62	63	125	61
Sun Nov 29 09:41:47 2015	1448786507	58	67	125	67
Sun Nov 29 09:41:49 2015	1448786509	63	62	125	60
Sun Nov 29 09:41:46 2015	1448786506	62	63	125	62
